Timestamp: 09:24 14.10.2024
usd,pln,usd_change,pln_change
64036.0,251365.0,0.0,0.0
2518.03,9884.28,-96.07,-96.07
0.54,2.1,-99.98,-99.98

Timestamp: 09:25 14.10.2024
usd,pln,usd_change,pln_change
64036.0,251365.0,0.0,0.0
2518.03,9884.28,-96.07,-96.07
0.54,2.1,-99.98,-99.98

Timestamp: 09:28 14.10.2024
usd,pln,usd_change,pln_change
64082.0,251516.0,0.0,0.0
2517.89,9882.48,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:28 14.10.2024

Timestamp: 09:30 14.10.2024
usd,pln,usd_change,pln_change
64082.0,251516.0,0.0,0.0
2517.89,9882.48,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:31 14.10.2024

Timestamp: 09:34 14.10.2024
usd,pln,usd_change,pln_change
64054.0,251518.0,0.0,0.0
2519.22,9892.11,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:34 14.10.2024

Timestamp: 09:34 14.10.2024
usd,pln,usd_change,pln_change
64054.0,251518.0,0.0,0.0
2519.22,9892.11,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:35 14.10.2024
usd,pln,usd_change,pln_change
64054.0,251518.0,0.0,0.0
2519.22,9892.11,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:36 14.10.2024

Timestamp: 09:37 14.10.2024
usd,pln,usd_change,pln_change
64054.0,251518.0,0.0,0.0
2519.22,9892.11,-96.07,-96.07
0.54,2.11,-99.98,-99.98

Timestamp: 09:39 14.10.2024
usd,pln,usd_change,pln_change
64213.0,252181.0,0.0,0.0
2532.57,9946.04,-96.06,-96.06
0.54,2.11,-99.98,-99.98

Timestamp: 09:43 14.10.2024
usd,pln,usd_change,pln_change
64213.0,252181.0,0.0,0.0
2532.57,9946.04,-96.06,-96.06
0.54,2.11,-99.98,-99.98

Timestamp: 09:45 14.10.2024
usd,pln,usd_change,pln_change
64293.0,252364.0,0.0,0.0
2531.14,9935.27,-96.06,-96.06
0.54,2.11,-99.98,-99.98

Timestamp: 09:45 14.10.2024

Timestamp: 09:48 14.10.2024
usd,pln,usd_change,pln_change
64293.0,252364.0,0.0,0.0
2531.14,9935.27,-96.06,-96.06
0.54,2.11,-99.98,-99.98

Timestamp: 10:26 14.10.2024
usd,pln,usd_change,pln_change
64591.0,253672.0,0.0,0.0
2529.17,9932.93,-96.08,-96.08
0.54,2.11,-99.98,-99.98

